gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,champ1,champ2,champ3,champ4,champ5
TRKR1/440018,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/440018?gameHash=3c88db0d8da6effd,OGN,2015,Spring,0,2015-01-07 08:56:44,1,4.21,100,Blue,team,,,NaJin e-mFire,oe:team:0bad133adf0b0d75b82191b60e3d624,,11.0,69.0,36.0,,,1963,1,28,6,63,28,6,4,0,0,0,1,,,,0.8558,1.0392,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,1.0,1.0,0.0,1.0,10.0,4.0,0.0,0.0,,,2,0,73139,2235.5273,,2257.6872,0.0,107,3.2705,29,0.8864,19,0,0.0,63835,43667,1334.702,,58265,0.251244,,745,102,81,21,25.8889,15055,17226,252,13712,17346,254,1343,-120,-2,3,3,2,2,3,3,23603,27534,391,22715,27015,423,888,519,-32,7,11,2,2,3,7,106,46,158,118,7
TRKR1/440018,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/440018?gameHash=3c88db0d8da6effd,OGN,2015,Spring,0,2015-01-07 08:56:44,1,4.21,200,Red,team,,,SK Telecom T1,oe:team:3354e252e33ed55fd8fa14595ca1564,,45.0,56.0,75.0,,,1963,0,6,28,14,6,28,1,0,0,0,0,,,,0.1834,1.0392,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,1.0,0.0,4.0,10.0,1.0,1.0,,,0,2,48634,1486.5206,,3004.1875,0.0,96,2.9343,34,1.0392,21,0,0.0,47504,27336,835.5374,,45260,-0.251244,,806,105,95,10,27.8451,13712,17346,254,15055,17226,252,-1343,120,2,2,3,3,3,3,2,22715,27015,423,23603,27534,391,-888,-519,32,2,3,7,7,11,2,24,66,151,131,130
TRKR1/450030,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/450030?gameHash=92f4bf24e0a8cb58,OGN,2015,Spring,0,2015-01-07 10:07:23,2,4.21,100,Blue,team,,,SK Telecom T1,oe:team:3354e252e33ed55fd8fa14595ca1564,,65.0,7.0,56.0,,,2069,1,15,1,36,15,1,2,0,0,0,1,,,,0.435,0.464,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,1.0,1.0,0.0,1.0,10.0,2.0,1.0,1.0,,,2,0,65586,1901.9623,,2317.8154,0.0,99,2.871,47,1.363,17,0,0.0,63981,42806,1241.3533,,51438,0.138905,,927,149,115,34,31.2035,13648,17167,266,13044,16525,264,604,642,2,1,2,0,0,0,1,21933,27896,445,19927,26953,445,2006,943,0,1,2,0,0,0,1,75,66,151,21,45
TRKR1/450030,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/450030?gameHash=92f4bf24e0a8cb58,OGN,2015,Spring,0,2015-01-07 10:07:23,2,4.21,200,Red,team,,,NaJin e-mFire,oe:team:0bad133adf0b0d75b82191b60e3d624,,69.0,106.0,36.0,,,2069,0,1,15,0,1,15,0,0,0,0,0,,,,0.029,0.464,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,1.0,0.0,2.0,10.0,0.0,0.0,,,0,2,51420,1491.1551,,2503.9343,0.0,112,3.2479,45,1.305,19,0,0.0,46347,25172,729.9758,,44757,-0.138905,,888,98,96,2,28.5935,13044,16525,264,13648,17167,266,-604,-642,-2,0,0,1,1,2,0,19927,26953,445,21933,27896,445,-2006,-943,0,0,0,1,1,2,0,24,46,48,131,82
TRKR1/450041,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/450041?gameHash=7e218ccfbffc97d2,OGN,2015,Spring,0,2015-01-07 11:17:59,3,4.21,200,Red,team,,,SK Telecom T1,oe:team:3354e252e33ed55fd8fa14595ca1564,,7.0,56.0,46.0,,,1802,1,22,7,34,22,7,2,2,2,1,1,,,,0.7325,0.9323,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,1.0,1.0,0.0,1.0,8.0,1.0,1.0,1.0,,,1,0,50167,1670.3774,,2399.8668,0.0,90,2.9967,36,1.1987,26,0,0.0,57584,38945,1296.7259,,50160,0.308861,,733,146,98,48,29.2675,16282,16410,229,11637,13908,211,4645,2502,18,7,12,0,0,0,7,26412,26918,382,18471,23479,348,7941,3439,34,11,17,2,2,5,11,75,66,65,131,45
TRKR1/450041,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRKR1/450041?gameHash=7e218ccfbffc97d2,OGN,2015,Spring,0,2015-01-07 11:17:59,3,4.21,100,Blue,team,,,NaJin e-mFire,oe:team:0bad133adf0b0d75b82191b60e3d624,,11.0,69.0,36.0,,,1802,0,6,22,11,6,22,0,0,0,0,0,,,,0.1998,0.9323,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,,,0,1,33437,1113.3296,,2263.7181,0.0,74,2.4639,34,1.1321,19,0,0.0,38886,20247,674.1509,,36740,-0.308861,,619,87,86,1,23.5072,11637,13908,211,16282,16410,229,-4645,-2502,-18,0,0,7,7,12,0,18471,23479,348,26412,26918,382,-7941,-3439,-34,2,5,11,11,17,2,106,61,1,53,16
TRTW/70023,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/70023?gameHash=9bd99d085ded4175,LMS,2015,Spring,0,2015-01-08 10:58:50,1,4.21,100,Blue,team,,,ahq eSports Club,oe:team:d15303823a1dccff9f3068fb357e356,,93.0,11.0,69.0,,,2212,1,26,7,58,26,7,2,1,0,0,0,,,,0.7052,0.8951,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0,1.0,10.0,1.0,1.0,1.0,,,2,0,79407,2153.8969,,2341.1935,0.0,87,2.3599,30,0.8137,18,0,0.0,64463,41929,1137.3146,,57748,0.228555,,828,106,88,18,25.3345,13712,17814,282,13427,17014,256,285,800,26,1,1,1,1,1,1,21768,27937,418,19550,25225,366,2218,2712,52,6,12,3,3,4,6,106,46,32,21,130
TRTW/70023,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/70023?gameHash=9bd99d085ded4175,LMS,2015,Spring,0,2015-01-08 10:58:50,1,4.21,200,Red,team,,,Machi Crew,oe:team:23f2bd279251a0ee0f8c762ee3b0700,,43.0,158.0,100.0,,,2212,0,7,26,10,7,26,0,0,0,0,1,,,,0.1899,0.8951,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,,,0,2,60679,1645.9042,,2775.868,0.0,104,2.821,26,0.7052,15,0,0.0,48238,25704,697.2152,,45903,-0.228555,,801,107,96,11,24.6293,13427,17014,256,13712,17814,282,-285,-800,-26,1,1,1,1,1,1,19550,25225,366,21768,27937,418,-2218,-2712,-52,3,4,6,6,12,3,60,66,48,29,16
TRTW/60025,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/60025?gameHash=288dbaca80bbf1ee,LMS,2015,Spring,0,2015-01-08 12:01:58,1,4.21,200,Red,team,,,Logitech G Snipers,oe:team:451c3e722d7502dddcb89644aaa9fa8,,158.0,11.0,60.0,,,1757,1,25,6,63,25,6,5,1,0,0,0,,,,0.8537,1.0586,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,1.0,1.0,0.0,0.0,9.0,3.0,0.0,0.0,,,2,0,71851,2453.6483,,2479.3625,0.0,73,2.4929,27,0.922,14,0,0.0,58289,40078,1368.6283,,46895,0.23549,,724,75,63,12,27.2851,13218,16694,250,12558,15592,212,660,1102,38,1,1,1,1,1,1,20489,27251,397,18414,24405,350,2075,2846,47,3,5,1,1,1,3,103,100,56,118,45
TRTW/60025,complete,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRTW/60025?gameHash=288dbaca80bbf1ee,LMS,2015,Spring,0,2015-01-08 12:01:58,1,4.21,100,Blue,team,,,Machi Crew,oe:team:23f2bd279251a0ee0f8c762ee3b0700,,124.0,21.0,46.0,,,1757,0,6,25,10,6,25,0,0,0,0,1,,,,0.2049,1.0586,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,0.0,0.0,1.0,1.0,3.0,9.0,1.0,1.0,,,0,2,46830,1599.2032,,3138.3722,0.0,82,2.8002,24,0.8196,13,0,0.0,39236,21025,717.9852,,37015,-0.23549,,582,77,70,7,22.5043,12558,15592,212,13218,16694,250,-660,-1102,-38,1,1,1,1,1,1,18414,24405,350,20489,27251,397,-2075,-2846,-47,1,1,3,3,5,1,36,66,32,38,120
